latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.89589,-121.46109,313.66,0.39,0.36,2026-07-03,1028,N,VIIRS,n,2.0NRT,281.03,0.93,N
49.89685,-121.46677,298.08,0.39,0.36,2026-07-03,1028,N,VIIRS,n,2.0NRT,277.95,0.93,N
49.89506,-121.44967,333.79,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,279.13,6.31,D
49.89624,-121.43263,329.44,0.48,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,286.06,5.73,D
49.89994,-121.44421,347.06,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,277.9,6.44,D
49.90031,-121.43896,331.88,0.48,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,282.04,6.44,D
49.90327,-121.46086,353.11,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,289.35,10.77,D
49.90395,-121.45127,350.53,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,279.77,10.77,D
49.90444,-121.44426,349.72,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,282.72,7.44,D
49.90477,-121.43954,343.66,0.48,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,279.96,7.44,D
49.90839,-121.45203,336.17,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,280.5,10.77,D
49.90887,-121.44531,341.58,0.47,0.48,2026-07-04,2138,N,VIIRS,n,2.0NRT,280.78,7.44,D
49.89271,-121.4684,310.21,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.45,1.4,N
49.8972,-121.47198,296.88,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.26,1.4,N
49.89758,-121.47618,296.46,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,281.75,0.79,N
49.89794,-121.48035,298.25,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,280.7,0.79,N
49.89832,-121.48466,300.8,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,278.97,1.29,N
49.90243,-121.4839,312.19,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,282.07,1.79,N
49.90541,-121.47051,297.94,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,281.88,1.11,N
49.90617,-121.47904,300.07,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,278.62,2.07,N
49.90657,-121.48357,309.64,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,282.12,1.79,N
49.90919,-121.46602,323.65,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.52,1.78,N
49.9096,-121.47057,296.35,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,280.59,1.78,N
49.91036,-121.47925,303.64,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,281.48,2.48,N
49.91076,-121.48366,320.95,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,281.87,2.1,N
49.91338,-121.46621,329.09,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.91,1.78,N
49.91378,-121.47064,301.48,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,279.98,1.78,N
49.91495,-121.48382,304.93,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.16,2.1,N
